redVarietal,isVQA,subCategory/description,subCategory/id,consumerRating,featured/0,_isLimitedTimeOffer,regularPrice,isCraft,isDraft,promotionStartDate,whiteVarietal,tastingDescription,_promotionStartDate,_all_featured/0,_all_featured/1,promotionEndDate,sku,isLimitedTimeOffer,_featured/0,image,availableUnits,last_updated,subRegion,unitSize,upc/0,_blacklist,volume,name,style,countryName,isBCCraft,region,status,statusCode,color,grapeType,_regularPrice,isOrganic,storeCount,nameSuffix,alcoholPercentage,productCategory,isExclusive,all_featured/0,all_featured/1,restrictionCode,productSubCategory,namePrefix,countryCode,isOntarioVQA,class/description,class/id,productType,isKosher,_whitelist,inventoryCode,currentPrice,sweetness,isNew,all_promotions/0/urlAlias,all_promotions/0/name,all_promotions/0/promoCode,all_promotions/0/published,all_promotions/0/shortName,promotions/0/urlAlias,promotions/0/name,promotions/0/promoCode,promotions/0/published,promotions/0/shortName,nameSanitized,isBCVQA,_currentPrice,_promotionEndDate,votes,category/description,category/id,upc/1,upc/2,upc/3,upc/4,all_promotions/0,promotions/0,certificates/0,upc/5,upc/6,upc/7,upc/8,upc/9,upc/10,upc/11,upc/12,upc/13,upc/14,_all_featured/2,all_featured/2,upc/15,upc/16,upc/17,upc/18,upc/19,is_special_release,availability_override,upc/20,upc/21,upc/22,certificates/1
,,Portugal Wine,1048,4,,,19.49,,,,Other Blend,"Full of white flowers, sweet lychee and fresh white peach, with hints of dried apricots. As it warmed up it moved into aromas of tangerine zest and juicy lemons, with hints of pineapple, tart green apple, lightly toasted bread and mango. Bracing and strong acidity and approaching full bodied, it has a medium creamy texture and a powerful but soft finish that’s touched with minerals. 
",,,,,388165,,,http://www.bcliquorstores.com/files/388165.jpeg,86,4/4/2019 18:10,,1,5.60031E+12,FALSE,0.75,ALENTEJANO BRANCO - ROCIM MARIANA 2016,,Portugal,FALSE,Other Portugal South,3,3,WHITE,OTHER BLEND,19.49,FALSE,16, ROCIM MARIANA 2016,12.5,,FALSE,,,ST,,ALENTEJANO BRANCO ,PT,,Portugal White Wine,1251,White Wine,FALSE,FALSE,1,19.49,0,FALSE,,,,,,,,,,,alentejano branco - rocim mariana 2016,,19.49,,46,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Blend,,Portugal Wine,1048,4.2,,,28.99,,,,,"Earthy notes of plum, bramble and cedar, sage and tobacco along with bold tannins make this wine reminiscent of wines styles of the past. Decant this wine before serving. Roasted mushrooms or grilled meats are a willing match with this wine.
",,,,,693523,,,http://www.bcliquorstores.com/files/693523.jpeg,157,4/4/2019 18:10,,1,5.60215E+12,FALSE,0.75,ALENTEJO RESERVA - ADEGA DE BORBA 2015,,Portugal,FALSE,Other Portugal North,2,2,RED,OTHER BLEND,28.99,,15, ADEGA DE BORBA 2015,13,,FALSE,,,ST,,ALENTEJO RESERVA ,PT,,Portugal Red Wine,1248,Red Wine,,FALSE,0,28.99,0,FALSE,,,,,,,,,,,alentejo reserva - adega de borba 2015,,28.99,,41,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Blend,,Spain Wine,1051,4.4,,,24.99,,,,,"""This red shows grace and depth. Black cherry, plum, mineral and smoke flavors mingle harmoniously over well-integrated tannins, while lively acidity keeps this focused. Not showy, but all the pieces fit together. Balanced, in the modern style.
",,,,,890160,,,http://www.bcliquorstores.com/files/890160.jpeg,342,4/4/2019 18:10,,1,6.2699E+11,FALSE,0.75,ALICANTE MONASTRELL - VOLVER TAMIRA HILL OLD VINES 2015,,Spain,FALSE,Other Spain South,2,2,RED,OTHER BLEND,24.99,FALSE,26, VOLVER TAMIRA HILL OLD VINES 2015,15,,FALSE,,,ST,,ALICANTE MONASTRELL ,ES,,Spain Red Wine,1266,Red Wine,FALSE,FALSE,0,24.99,0,FALSE,,,,,,,,,,,alicante monastrell - volver tamira hill old vines 2015,,24.99,,24,Wine,1005,8.53891E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Blend,,Spain Wine,1051,3.6,,,16.99,,,,,"Flavours in this Garnacha-Montastrell blend are bold and ripe. This is a great wine to warm you up on a winter's eve and even better when paired with chorizo.
",,,,,189902,,,http://www.bcliquorstores.com/files/189902.jpeg,2360,4/4/2019 18:10,,1,8.43701E+12,FALSE,0.75,ALMANSA - LAYA,,Spain,FALSE,Other Spain Central,2,2,RED,OTHER BLEND,16.99,FALSE,134, LAYA,15,,FALSE,,,SR,,ALMANSA ,ES,,Spain Red Wine,1266,Red Wine,FALSE,FALSE,0,16.99,0,FALSE,,,,,,,,,,,almansa - laya,,16.99,,376,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Grape Variety,,Spain Wine,1051,2.7,,,15.99,,,,,"Full, concentrated, rich wild berry fruit on the palate with finely balanced vanilla undertones, and well integrated tannins, great depth with a persistent finish. Enjoy it with grilled pork or smokies.
",,,,,270363,,,http://www.bcliquorstores.com/files/270363.jpeg,2837,4/4/2019 18:10,,1,8.41484E+12,FALSE,0.75,ALMANSA RESERVA - PIQUERAS CASTILLO DE ALMANSA,,Spain,FALSE,Other Spain Central,2,2,RED,OTHER GRAPE VARIETY,15.99,FALSE,189, PIQUERAS CASTILLO DE ALMANSA,14,,FALSE,,,G,,ALMANSA RESERVA ,ES,,Spain Red Wine,1266,Red Wine,FALSE,FALSE,0,15.99,0,FALSE,,,,,,,,,,,almansa reserva - piqueras castillo de almansa,,15.99,,164,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Italy Wine,1043,3.6,,,20.99,,,,Pinot Gris / Pinot Grigio,"Aromas of apricots, golden apples and guava are layered with a dollop of honey, spring blossoms and a fresh mountain stream mineral note. The palate is pristine with excellent fruit expression and is underscored by juicy lemony flavours, which are rounded out with intrinsic forest floor and smoky flavours.
",,,,,294983,,,http://www.bcliquorstores.com/files/294983.jpeg,2106,4/4/2019 18:10,,1,8.50575E+11,FALSE,0.75,ALTO ADIGE PINOT GRIGIO - L'ORA 2017,,Italy,FALSE,Other Italy North,2,2,WHITE,PINOT GRIS/PINOT GRIGIO,20.99,FALSE,143, L'ORA 2017,13.5,,FALSE,,,SR,,ALTO ADIGE PINOT GRIGIO ,IT,,Italy White Wine,1206,White Wine,FALSE,FALSE,0,20.99,0,FALSE,,,,,,,,,,,alto adige pinot grigio - lora 2017,,20.99,,45,Wine,1005,8.00163E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortified Wine,1036,4,,TRUE,19.99,,,2019-04-01T00:00:00.000-07:00,Other Grape Variety,"The colour is pale with a yeasty, tangy nutty, toasty, rancio nose with citrus aromas. The attack is dry, fresh and elegant with more nutty, rancio, apple skin flavours. Perfect as a chilled aperitif you can serve with olives, charcuterie or sushi.
",2019-04-01T00:00:00.000-07:00,On Sale,,2019-04-27T00:00:00.000-07:00,112771,TRUE,,http://www.bcliquorstores.com/files/112771.jpeg,1119,4/4/2019 18:10,,1,7.66238E+11,FALSE,0.75,ALVEAR - FINO,,Spain,FALSE,,2,2,WHITE,OTHER GRAPE VARIETY,19.99,FALSE,94, FINO,15,,FALSE,On Sale,,SR,,ALVEAR ,ES,,Other Fortified Import Wine,1146,White Wine,FALSE,FALSE,0,17.99,0,FALSE,,,,,,,,,,,alvear - fino,,17.99,2019-04-27T00:00:00.000-07:00,73,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortified Wine,1036,4.1,,,19.99,,,,Other Grape Variety,"Medium-bodied and amber in colour, this amontillado has been aged in barrels, giving it a smoky bourbon-like nose with nutty dried fruit flavours and medium sweetness.
",,,,,112789,,,http://www.bcliquorstores.com/files/112789.jpeg,1424,4/4/2019 18:10,,1,7.66238E+11,FALSE,0.75,ALVEAR - MEDIUM DRY,,Spain,FALSE,,2,2,WHITE,OTHER GRAPE VARIETY,19.99,FALSE,119, MEDIUM DRY,17,,FALSE,,,SR,,ALVEAR ,ES,,Other Fortified Import Wine,1146,White Wine,FALSE,FALSE,0,19.99,3,FALSE,,,,,,,,,,,alvear - medium dry,,19.99,,75,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortified Wine,1036,4.5,,,29.99,,,,Other Grape Variety,"98 Points, Wine Advocate - ""The NV Pedro Ximenez Solera 1927 is non-vintage, but does have some 1927 material in it. This is totally dark brown/amber with notes of figs, toffee, caramel syrup, molasses and coffee. It is dense, super sweet, intense, rich and an amazingly, unctuously textured, thick beverage to consume slowly and introspectively after a meal. Drink now through 2050, or even longer."" (November 2015)
",,,,,614834,,,http://www.bcliquorstores.com/files/614834.jpeg,275,4/4/2019 18:10,,1,7.66239E+11,FALSE,0.375,ALVEAR - PEDRO XIMENEZ SOLERA 1927,,Spain,FALSE,,2,2,WHITE,OTHER GRAPE VARIETY,29.99,,31, PEDRO XIMENEZ SOLERA 1927,16,,FALSE,,,SR,,ALVEAR ,ES,,Other Fortified Import Wine,1146,White Wine,,FALSE,0,29.99,10,FALSE,,,,,,,,,,,alvear - pedro ximenez solera 1927,,29.99,,71,Wine,1005,8.41049E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Grape Variety,,Italy Wine,1043,3.1,,,520,,,,,"98 Points, Wine Advocate - ""This is a deeply communicative and articulate wine that boasts immense power and persistence. The 2010 Amarone della Valpolicella Monte Lodoletta is a creation of enormous beauty and unflinching intensity. The wine speaks at loud volumes. Drink: 2019 - 2040."" (May 2017)
",,,,,117226,,,http://www.bcliquorstores.com/files/117226.jpeg,17,4/4/2019 18:10,Amarone,1,8.31906E+11,FALSE,0.75,AMARONE - DAL FORNO ROMAN 2010,,Italy,FALSE,Veneto,3,3,RED,OTHER GRAPE VARIETY,520,FALSE,4, DAL FORNO ROMAN 2010,17,,FALSE,,,SM,,AMARONE ,IT,,Italy Red Wine,1203,Red Wine,FALSE,FALSE,0,520,0,FALSE,,,,,,,,,,,amarone - dal forno roman 2010,,520,,47,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Blend,,Italy Wine,1043,4.1,,,49.99,,,,,"92 Points, Wine Scores - ""The notes here are opulent; rich warm chocolate, smoked and preserved cherries, dried rose petals, exotic spices, wild herbs and espresso. The palate is equally weighty and intense...flavours of cherries in syrup and spiced bittersweet cocoa."" (December 2016)
",,,,,855759,,,http://www.bcliquorstores.com/files/855759.jpeg,963,4/4/2019 18:10,Amarone,1,7.95898E+11,FALSE,0.75,AMARONE - MONTRESOR 2015,,Italy,FALSE,Veneto,2,2,RED,OTHER BLEND,49.99,FALSE,74, MONTRESOR 2015,15,,FALSE,,,SR,,AMARONE ,IT,,Italy Red Wine,1203,Red Wine,FALSE,FALSE,0,49.99,0,FALSE,,,,,,,,,,,amarone - montresor 2015,,49.99,,195,Wine,1005,6.2699E+11,8.0035E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Blend,,Italy Wine,1043,2.5,,,62.99,,,,,"To make this special wine, Corvina, Corvinone, Rondinella and Oseleta grapes are dried in a well-ventilated loft. The grapes lose 35% of their weight and become very concentrated in flavours and sugars. They are then fermented to dryness, making a full-bodied, ripe and complex Amarone. The Musella is an ideal wine to warm your guests on a cold night. Try with Gorgonzola cheese.
",,,,,62232,,,http://www.bcliquorstores.com/files/62232.jpeg,151,4/4/2019 18:10,Amarone,1,8.03139E+12,FALSE,0.75,AMARONE - MUSELLA 2012,,Italy,FALSE,Veneto,2,2,RED,OTHER BLEND,62.99,FALSE,18, MUSELLA 2012,15.5,,FALSE,,,ST,,AMARONE ,IT,,Italy Red Wine,1203,Red Wine,FALSE,FALSE,0,62.99,0,FALSE,,,,,,,,,,,amarone - musella 2012,,62.99,,54,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valpolicella Blend,,Italy Wine,1043,4.5,,TRUE,55.99,,,2019-04-01T00:00:00.000-07:00,,"Strong ruby red. Clear and transparent. Notes of vanilla and sweet fruits such as currants, blueberries, cherries depending on the varieties of grapes.Wine with a velvety, raisiny character combined with the structure and typical stylish bitterness to give it good balance. It has an enduring and persistent flavour.
",2019-04-01T00:00:00.000-07:00,On Sale,,2019-04-27T00:00:00.000-07:00,110312,TRUE,,http://www.bcliquorstores.com/files/110312.jpeg,1022,4/4/2019 18:10,Amarone,1,8.31906E+11,FALSE,0.75,AMARONE - TEDESCHI 2013,,Italy,FALSE,Veneto,2,2,RED,VALPOLICELLA BLEND,55.99,FALSE,78, TEDESCHI 2013,16,,FALSE,On Sale,,SR,,AMARONE ,IT,,Italy Red Wine,1203,Red Wine,FALSE,FALSE,0,52.99,0,FALSE,,,,,,,,,,,amarone - tedeschi 2013,,52.99,2019-04-27T00:00:00.000-07:00,281,Wine,1005,8.01917E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valpolicella Blend,,Italy Wine,1043,4.6,,,264.99,,,,,"91 Points, Wine Spectator - ""Firm tannins are tightly knit to the core of crushed blackberry, wild herb, tarry mineral and abundant spice notes in this sleek, full-bodied red. Fresh and focused, this should open nicely with air or short-term cellaring. Best from 2018 through 2027.” (March 2017)
",,New Product,,,641647,,,http://www.bcliquorstores.com/files/641647.jpeg,0,4/4/2019 18:10,Amarone,1,6.2699E+11,TRUE,3,AMARONE - TEDESCHI 2013,,Italy,FALSE,Veneto,2,2,RED,VALPOLICELLA BLEND,264.99,FALSE,, TEDESCHI 2013,16,,FALSE,New Product,,ST,,AMARONE ,IT,,Italy Red Wine,1203,Red Wine,FALSE,FALSE,0,264.99,0,TRUE,,,,,,,,,,,amarone - tedeschi 2013,,264.99,,18,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Blend,,Italy Wine,1043,4.6,,,119.99,,,,,"91 Points, Wine Spectator - ""Firm tannins are tightly knit to the core of crushed blackberry, wild herb, tarry mineral and abundant spice notes in this sleek, full-bodied red. Fresh and focused, this should open nicely with air or short-term cellaring. Best from 2018 through 2027."" (March 2017)
",,,,,668723,,,http://www.bcliquorstores.com/files/668723.jpeg,21,4/4/2019 18:10,,1,8.01917E+12,FALSE,1.5,AMARONE - TEDESCHI 2013,,Italy,FALSE,Other Italy Central,2,2,RED,OTHER BLEND,119.99,FALSE,4, TEDESCHI 2013,16,,FALSE,,,ST,,AMARONE ,IT,,Italy Red Wine,1203,Red Wine,FALSE,FALSE,0,119.99,0,FALSE,,,,,,,,,,,amarone - tedeschi 2013,,119.99,,76,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valpolicella Blend,,Italy Wine,1043,5,,,239.99,,,,,"It has imposing structure and depth, as much in its aromas of mature fruit and spices, as on the palate, where the alcohol is sustained by the right degree of acidity and refined tannins.
",,,,,869560,,,http://www.bcliquorstores.com/files/869560.jpeg,3,4/4/2019 18:10,Amarone,1,8.01582E+12,FALSE,1.5,AMARONE CLASSICO - ALLEGRINI 2014,,Italy,FALSE,Veneto,3,3,RED,VALPOLICELLA BLEND,239.99,FALSE,3, ALLEGRINI 2014,15.5,,FALSE,,,SM,,AMARONE CLASSICO ,IT,,Italy Red Wine,1203,Red Wine,FALSE,FALSE,0,239.99,0,FALSE,,,,,,,,,,,amarone classico - allegrini 2014,,239.99,,1,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Blend,,Italy Wine,1043,3.5,,,105.99,,,,,"94 Points, James Suckling - ""A decadent nose of coffee beans, treacle tart, plum liqueur, ash, asphalt, tar, chocolate-coated plums and cedar. Extremely full and intense with so much dense dark-fruit character, layers of fruit, a fine line of acidity and a long finish. Drink now."" (October 2017)
",,,,,456749,,,http://www.bcliquorstores.com/files/456749.jpeg,178,4/4/2019 18:10,Amarone,1,8.01582E+12,FALSE,0.75,AMARONE CLASSICO - ALLEGRINI 2014,,Italy,FALSE,Veneto,2,2,RED,OTHER BLEND,105.99,FALSE,22, ALLEGRINI 2014,15.5,,FALSE,,,ST,,AMARONE CLASSICO ,IT,,Italy Red Wine,1203,Red Wine,FALSE,FALSE,0,105.99,0,FALSE,,,,,,,,,,,amarone classico - allegrini 2014,,105.99,,90,Wine,1005,8.01582E+12,98709071001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Blend,,Italy Wine,1043,2.9,,,125.99,,,,,"90 Points, Wine Spectator - ""There's a slight raisiny tinge to the fruit, with cardamom, fresh oak and just a whiff of black truffle at the start. Full-bodied, with fine tannins and a clean, mineral finish. The refined texture adds a touch of finesse.” (October 2007)
",,,,,867218,,,http://www.bcliquorstores.com/files/867218.jpeg,10,4/4/2019 18:10,Valpolicella,1,8.00206E+12,FALSE,0.75,AMARONE CLASSICO - MASI COSTASERA 2003,,Italy,FALSE,Veneto,3,3,RED,OTHER BLEND,125.99,FALSE,1, MASI COSTASERA 2003,14,,FALSE,,,SM,,AMARONE CLASSICO ,IT,,Italy Red Wine,1203,Red Wine,FALSE,FALSE,0,125.99,0,FALSE,,,,,,,,,,,amarone classico - masi costasera 2003,,125.99,,20,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
