name,summary,sku,url,country,region,style,grape,rating,tasting_notes,food_pairings,price
Gray Fox Chardonnay 750 mL,Gray Fox Chardonnay 750 mL,43885,https://www.everythingwine.ca/gray-fox-chardonnay,USA,California,White,Chardonnay,90%,,,$7.99 
Summerhill Pyramid Winery Ehrenfelser 750 mL ,Summerhill Estate Winery Ehrenfelser 750 mL,440016,https://www.everythingwine.ca/summerhill-ehrenfelser,Canada,BC - Okanagan Valley,White,ehrenfelser,100%,,,$19.99 
Freemark Abbey Napa Valley Chardonnay 750 mL,"Light greenish straw in color, the Freemark Abbey Napa Valley Chardonnay expresses fruit aromas of ripe pineapple, ripe banana, guava, apricot, peach and tropical fruit cocktail. Adding to the complexity, the oak aging is fairly integrated adding spice like nutmeg, light toast, and the nuance of angel food cake. This wine has great viscosity, depth and an intriguing long finish. The flavors are lively on the palate with pear, citrus, lemonlime, green apple and fleshy peach. This wine shows great complexity, creaminess, and elegance to compliment many foods.",443150,https://www.everythingwine.ca/freemark-abbey-chardonnay,USA,California - Napa Valley,White,Chardonnay,,,,$37.98 
Robertson Sauvignon Blanc 750 mL,Robertson Sauvignon Blanc750ml,444968,https://www.everythingwine.ca/robertson-sauvignon-blanc,South Africa,Western Cape,White,Sauvignon Blanc,,,,$9.97 
Ogier Heritages Cotes du Rhone White Blend 750 mL,Ogier Heritages Cotes du Rhone White Blend 750 mL,447276,https://www.everythingwine.ca/ogier-heritages-cdr-blanc,France,Rhone,White,White Blend,,,,$20.98 
Hardy's  Stamp Riesling/Gewurztraminer 750 mL,"Terrific value wine and one of our customer favourites. This Riesling Gewurztraminer is pale straw in colour and medium bodied, aromatic citrus and delicate tropical notes enjoy the crisp fresh finish of this excellent white blend. A great white wine to pair with chicken teriyaki, honey mustard pork chops or ginger garlic salmon steaks.",448548,https://www.everythingwine.ca/hardy-s-stamp-riesling-gewurzt,Australia,South Australia,White,White Blend,100%,"This off-dry wine is medium bodied with aromatic citrus and offers apple, delicate tropical notes and spicy hints with a crisp, clean finish. This is a terrific value for hosting your big holiday dinner and excellent with turkey and all the trimmings. A good white wine to have on hand!","Aside from turkey, serve with a variety of different dishes - break out the marinades and have fun with this wine - think chicken teriyaki, honey mustard pork chops or ginger garlic salmon steaks.",$9.99 
Mer Soleil  Reserve Chardonnay 750 mL,Mer Soleil  Reserve Chardonnay 750ml,453142,https://www.everythingwine.ca/mer-soleil-chardonnay-rsv,USA,California - Santa Lucia,White,Chardonnay,,,,$34.99 
Bret Brothers Domaine de La Soufrandi�re  Pouilly-Vinzelles 2011 750 mL,"Bret Brothers Domaine de La Soufrandire Pouilly-Vinzelles, this great white Burgundy wine is a full expression of a mature Chardonnay from Southern Mâconnais.",460089,https://www.everythingwine.ca/la-soufrandiere-pouilly-vinz,France,Burgundy - Pouilly Vinzelles,White,Chardonnay,,,,$71.98 
Bougrier  Muscadet Sevre et Maine 750 mL,Bougrier  Muscadet Sevre et Maine 750 mL,465070,https://www.everythingwine.ca/bougrier-muscadet-s-e-m,France,Loire,White,Melon du Bourgogne,,,,$19.98 
Concha Y Toro  Frontera Chardonnay 1.5 L,Concha Y Toro Frontera Chardonnay 1.5 L,465849,https://www.everythingwine.ca/concha-y-toro-f-chard-1-5,Chile,Maipo Valley,White,Chardonnay,,,,$14.99 
Hester Creek  Golden Mile Bench Pinot Blanc 750 mL,Hester Creek  Pinot Blanc 750ml,467316,https://www.everythingwine.ca/hester-creek-pinot-blanc,Canada,BC - Okanagan Valley,White,Pinot Blanc,,,,$15.99 
Bodega Alamos  Chardonnay 750 mL,Bodega Alamos  Chardonnay 750 mL,467969,https://www.everythingwine.ca/bodega-alamos-chardonnay,Argentina,Mendoza,White,Chardonnay,,"Straw yellow colour with light shades of green. Ripe tropical fruit aromas with citrus and floral notes. Rich and full flavours of ripe pear, fig, vanilla and sweet spice oak.","Pair this with a creamy pasta adorned with grilled shrimp or chicken.  For something lighter, pair with a grilled turkey & havarti sandwich.",$15.49 
Are You Game?  Chardonnay 750 mL ,Are You Game?  Chardonnay 750 mL,471128,https://www.everythingwine.ca/are-you-game-chardonnay,Australia,BC,White,Chardonnay,,,,$26.98 
Cono Sur  Organic Chardonnay 750 mL,Cono Sur Organic Chardonnay 750 mL,471367,https://www.everythingwine.ca/cono-sur-chardonnay-organic,Chile,Colchagua Valley,White,Chardonnay,70%,,,$13.99 
Renmano Chardonnay 2L,Renmano Chardonnay 2L,476143,https://www.everythingwine.ca/renmano-chardonnay-cask,Australia,South Eastern Australia,White,Chardonnay,,,,$17.99 
Stags Leap Wine Cellars Napa Valley Chardonnay 750 mL,Stags Leap Chardonnay 750 mL,476440,https://www.everythingwine.ca/stags-leap-chardonnay,USA,California - Napa Valley,White,Chardonnay,,,,$40.98 
50th Parallel Estate Gewurztraminer 750 mL,50th Parallel Estate Gewurztraminer 750 mL,477810,https://www.everythingwine.ca/50th-parallel-gewurztraminer,Canada,BC - Okanagan Valley,White,Gewurztraminer,60%,,,$19.98 
Chateau de Tracy Mademoiselle de T  Pouilly Fume 750 mL,Chateau de Tracy Mademoiselle de T  Pouilly Fume 750 mL,479923,https://www.everythingwine.ca/mademoiselle-de-t,France,Loire - Pouilly Fume,White,Sauvignon Blanc,,,,$38.98 
Joseph Mellot Sincerite Sauvignon Blanc 750ml,Joseph Mellot Sincerite Sauvignon Blanc 750ml,481952,https://www.everythingwine.ca/joseph-mellot-sauvignon-blanc,France,Loire,White,Sauvignon Blanc,,"a straightforward, easy-to-drink Sauvignon Blanc that is unmistakably Loire Valley. Crisp green apple and pineapple flavors tinged with sharp lemon oil and grassy notes. A little hint of gooseberry, as well. Good minerality, but not as ""chalky"" as some th","Brisk, dry and refreshing, it makes a delicious aperitif or a perfect partner to the local speciality of goats’ cheese. Also pairs well with crisp salad of zucchini ribbons, peppery frisée, thinly sliced radish and sweet peppers with a light poppy seed dressing.",$26.98 
Jadot Grange Magnien Macon Village Chardonnay 750mL,Jadot Grange Magnien Macon Village Chardonnay 750mL,484717,https://www.everythingwine.ca/jadot-macon-villages,France,Beaujolais,White,Chardonnay,,This dry and greenish yellow coloured white showcases a simple nose releasing floral and fruity scents. You will be charmed with this medium-bodied wine revealing a broad texture and a medium finish.,"Dry and easy to drink, fruity with a floral scent, it can be drunk chilled, as an aperitif, It goes very well with hors d'oeuvres, fried or grilled fish, sea food, goat's milk cheese, cold cuts and poultry.",$29.98 
Hester Creek  Pinot Gris 3.0 L,Hester Creek  Pinot Gris 3.0L,485672,https://www.everythingwine.ca/hester-creek-pinot-gris-3-0l,Canada,BC - Okanagan Valley,White,Pinot Gris,,,,$48.98 
Hess Collection Napa Valley Chardonnay 750 mL,Hess Collection Napa Valley Chardonnay 750 mL,486027,https://www.everythingwine.ca/hess-collection-napa-chard,USA,California - Napa Valley,White,Chardonnay,,"Crisp and clean Hess Chardonnay showcases the moderate temperatures influenced by nearby San Pablo Bay. The multiple clones display an aromatic musqué, resulting in aromas and flavors of apple, white pear and a slight touch of tropical fruits, accented by aromas of honeysuckle.","This wine pairs well with poached or grilled seafood, shrimp or crab with spicy aioli, baby greens tossed in citrus honey vinaigrette, avocados, fruit salsa, shaved fennel, tangerines and triple crème cheeses.",$36.98 
Emmolo Wine Company Napa Valley Sauvignon Blanc 750 mL,"Emmolo Wine Company Sauvignon Blanc were inspired by the idea that less is more, this wine is more minerality-driven than fruit-driven. Not grassy or overly ripe, it features delicate fruit flavors and steely, mineral notes that call to mind a first summer rain.",493791,https://www.everythingwine.ca/emmolo-sauvignon-blanc,USA,California - Napa Valley,White,Sauvignon Blanc,,"light straw in colour the Emmolo Sauvignon Blanc features scents of melon and lavender, layered with soft notes of wet stone which call to mind a late summer rain. On the palate this wine is light then builds, with flavours that are just on the edge of ripeness, from peaches to bright citrus. A flinty character lingers throughout and the finish trails off with a balance of fruit and acidity, leaving a crisp, refreshing final impression.",,$31.98 
Veramonte Reserva Chardonnay 750 mL,Veramonte Chardonnay Reserva 750 ml,494443,https://www.everythingwine.ca/veramonte-chardonnay,Chile,Casablanca Valley,White,Chardonnay,,,,$15.98 
Cono Sur  Limited Release Gewurztraminer 750 mL,Cono Sur Limited Release Gewurztraminer 750 mL,494708,https://www.everythingwine.ca/cono-sur-gewurztraminer,Chile,Bio Bio Valley,White,Gewurztraminer,100%,,,$10.99 
Domaine Fouassier  'Les Romains' Sancerre Sauvignon Blanc 750 mL,Domaine Fouassier  'Les Romains' Sancerre Sauvignon Blanc 750 mL,495648,https://www.everythingwine.ca/les-romains-sancerre,France,Loire - Sancerre,White,Sauvignon Blanc,100%,,,$41.99 
Kourtakis Retsina750ml,Kourtakis Retsina750ml,495911,https://www.everythingwine.ca/kourtakis-retsina,Greece,Other,White,White Blend,,,,$18.98 
Red Rooster Winery Gewurztraminer 750 mL,Red Rooster Gewurztraminer 750 mL,498832,https://www.everythingwine.ca/red-rooster-gewurztraminer,Canada,BC - Okanagan Valley,White,Gewurztraminer,,"Wonderful aromas of rose petal, tropical fruit, lychee nut, spice and marzipan rise from the glass. This medium-bodied wine is just off-dry with juicy flavours of tropical fruit, melon and pear. The lingering finish of lychee nut, exotic spice and melon makes for a perfect food companion. Drink while young and fresh","Serve with lightly spiced and savoury foods such as Tandoori chicken; Cajun spiced fish; spiced crab cakes; Pad Thai; vegetable stir-fries (include ginger, hoisin and oyster sauces); take-out Chinese food; ham and grainy mustard Panini; baked ham; spiced sausage with sauerkraut on crusty buns; vegetable samosas with mango chutney; Muenster cheese and water crackers.",$16.99 
Lake Breeze Vineyards Pinot Blanc 750 mL,"Intensely fruity and aromatic the Pinot Blanc is has been the signature wine of the Lake Breeze winery for many years and in addition to being a consistent award winner is, more importantly, a consistent favourite with our customers.  Clean, crisp and fresh this wine will leave you with the flavours of crisp apple and tropical fruits on the palate and nose.",500322,https://www.everythingwine.ca/lake-breeze-pinot-blanc,Canada,BC - Okanagan Valley,White,Pinot Blanc,,"Intensely fruity and aromatic with flavours and aromas of crisp apple and tropical fruits are complimented by more flinty notes from the fruit grown in the Similkameen valley. The result is a wine with great complexity and balance. Clean, crisp and fresh.","Try the Like breeze Pinot Blanc with seafood dishes, salads fruit or lighter cheeses.",$17.99 
Gray Monk  Unwooded  Chardonnay 750 mL,Gray Monk  Unwooded  Chardonnay 750 mL,501114,https://www.everythingwine.ca/gray-monk-unwooded-chardonnay,Canada,BC - Okanagan Valley,White,Chardonnay,,,,$16.99 
Maverick Estate Winery Pinot Gris 750 mL,Maverick Estate Winery Pinot Gris 750ml,502823,https://www.everythingwine.ca/maverick-pinot-gris,Canada,BC - Okanagan Valley,White,Pinot Gris,,"A true expression of terroir, this wine is alive with aromas of tropical fruits. Notes of pineapple, guava, citrus and ripe pear are complemented by an underlying minerality. Balanced acidity carries the fruitiness through to the palate.",,$22.98 
Kapuka  Marlborough Sauvignon Blanc 750 mL,Kapuka  Sauvignon Blanc 750 ml,504084,https://www.everythingwine.ca/kapuka-sauvignon-blanc,New Zealand,Marlborough,White,Sauvignon Blanc,,,,$17.98 
Hillside  Gewurztraminer 750 mL ,Hillside  Gewurztraminer 750 mL,505206,https://www.everythingwine.ca/hillside-gewurztraminer,Canada,BC - Okanagan Valley,White,Gewurztraminer,,,,$20.98 
Flip Flop Pinot Grigio 750 mL,Flip Flop Pinot Grigio 750 mL,5058,https://www.everythingwine.ca/flip-flop-pinot-grigio,USA,California,White,Pinot Grigio,,,,$10.98 
La Crema  Monterey  Chardonnay 750 mL,"On the nose the La Crema Chardonnay Monterey 2015 offers lemon, grilled pineapple and oyster shell. On the palate, peach, papaya and crisp tangerine notes are complemented by a touch of spice and complex minerality. Balanced acidity lingers on a long ­finish.
",506790,https://www.everythingwine.ca/la-crema-chardonnay-monterey,USA,California - Monterey,White,Chardonnay,,,"Dungeness crab or pan-sautéed petrale sole, or any fish and shellfish are ideal with this wine. Cheese like manchego is another fantastic option.",$29.98 
Black Widow Winery Oasis White Blend 750 mL ,Black Widow  Oasis White Blend 750 mL,506907,https://www.everythingwine.ca/black-widow-oasis,Canada,BC - Okanagan Valley,White,White Blend,,,,$21.09 
Peter Mertes Landlust  Riesling 750 ml,Peter Mertes Landlust  Riesling 750 ml,509430,https://www.everythingwine.ca/peter-mertes-landlust-riesling,Germany,Mosel,White,Riesling,,,,$13.99 
Domaine Zind Humbrecht Gewurztraminer  750 mL,Domaine Zind Humbrecht Gewurztraminer  750ml,510693,https://www.everythingwine.ca/zind-humbrecht-gewurztraminer-1,France,Alsace,White,Gewurztraminer,,,,$35.99 
Wittmann Trocken Riesling 750ml,Wittmann Troken Riesling 750ml,515486,https://www.everythingwine.ca/wittmann-troken-riesling,Germany,Rheinhessen,White,Riesling,,"This wine is packed with unmistakable notes of citrus, grapefruit and pomelo. The current vintage expresses a stunning, salty limestone minerality with an impressive acidity and long, lingering finish.",,$37.98 
Mission Hill Family Estate Five Vineyards Chardonnay 750 mL,Mission Hill Five Vineyards Chardonnay 750 mL,518530,https://www.everythingwine.ca/mh-5vy-chard,Canada,BC - Okanagan Valley,White,Chardonnay,,"The aromatics begin with yellow peach, lemon, and jasmine. The mouthfeel exudes flavours of green apple, fresh pineapple, lime, and a pleasant creaminess from oak aging. The finish lingers on this medium-bodied wine.","This Chardonnay is delightful when lightly chilled and best matched with cuisine that is of medium weight and richness. Savour it with risotto with spring vegetables, cracked crab, arugula salad with apple slices, creamy sauces, or pan-seared halibut with a tropical salsa.",$12.99 
Villa Chiopris Pinot Grigio 750 mL,Villa Chiopris Pinot Grigio 750 mL,519918,https://www.everythingwine.ca/villa-chiopris-pinot-grigio,Italy,Friuli-Venezia Giulia,White,Pinot Grigio,,,,$23.98 
Matetic Corralillo Sauvignon Blanc 750 mL,Matetic Corralillo Sauvignon Blanc 750 mL,524553,https://www.everythingwine.ca/matetic-sauvignon-blanc,Chile,San Antonio Valley,White,Sauvignon Blanc,,,,$21.98 
Calina Reserve Chardonnay 750 mL,Calina Reserve Chardonnay 750 mL,527879,https://www.everythingwine.ca/calina-reserve-chardonnay,Chile,Central Valley,White,Chardonnay,,,,$20.98 
Tinhorn Creek Vineyards Pinot Gris 750 mL,Tinhorn Creek Vineyards Pinot Gris 750mL,530683,https://www.everythingwine.ca/tinhorn-pinot-gris,Canada,BC - Okanagan Valley,White,Pinot Gris,,,,$19.49 
Red Rooster Winery Pinot Gris 750 mL,Red Rooster Pinot Gris 750 mL,533174,https://www.everythingwine.ca/red-rooster-pinot-gris,Canada,BC - Okanagan Valley,White,Pinot Gris,,"Clear and bright with a fresh, clean aroma of peach, melon, pear, yellow apple and marzipan.  This rooster shows a slightly rich, round fleshy profile with peach, melon and a hint of spice on the palate.  Then refreshing notes of orange, tangerine, lemon drop and yellow plum ‘take flight’ on the finish. Drink while young and fresh.",A terrific sipping wine or serve with lightly seasoned pan-fried fillets of fish; seared scallops; roast chicken; poached salmon; smoked salmon risotto; crab cakes; turkey wraps; leek and mushroom quiche.,$17.99 
Twin Islands  Marlborough Sauvignon Blanc 750 mL,Twin Islands  Sauvignon Blanc 750 ml,534016,https://www.everythingwine.ca/twin-islands-sauvignon-blanc,New Zealand,Marlborough,White,Sauvignon Blanc,,,,$17.99 
Danzante  Pinot Grigio 750ml,Danzante  Pinot Grigio 750ml,534214,https://www.everythingwine.ca/danzante-pinot-grigio,Italy,Veneto,White,Pinot Grigio,,,,$12.49 
Beringer  Founders' Estate Chardonnay 750 mL,Beringer  Founders' Estate Chardonnay 750 mL,534230,https://www.everythingwine.ca/beringer-founders-chardonnay,USA,California,White,Chardonnay,,,,$16.49 
Copper Moon Moonlight Harvest Pinot Grigio 1.5 L,Copper Moon Moonlight Harvest Pinot Grigio 1.5L,535567,https://www.everythingwine.ca/copper-moon-pinot-grigio-1-5l,Canada,Canada,White,Pinot Grigio,,,,$15.99 
Wild Goose Vineyards  Pinot Gris 2010 750 mL ,Wild Goose Vineyards  Pinot Gris 2010 750 mL,536227,https://www.everythingwine.ca/wild-goose-pinot-gris,Canada,BC - Okanagan Valley,White,Pinot Gris,,,,$18.99 
Finca Los Primos Torrontes 750 mL,Finca Los Primos Torrontes 750 mL,538025,https://www.everythingwine.ca/finca-los-primos-torrontes,Argentina,Mendoza,White,Torrontes,,,,$12.99 
Belle Grove  Chardonnay 750 mL,"From the sun drenched Spanish hillside vineyards, this Chardonnay has rich melon and peach aromas with hints of pineapple and a fresh, fruity finish. A fresh and aromatic wine that is suitable to enjoy at any time. Pair this great value white with light white fish, grilled chicken breast or crunchy Asian noodle salad.",538058,https://www.everythingwine.ca/belle-grove-chardonnay,Spain,Other,White,Chardonnay,65%,,,$10.99 
Hamilton Russell Vineyards Chardonnay 750ml,"The Hamilton Russell Vineyards Chardonnay 2016 in the words of our Vintage room expert Jordan Carrier. ""Pulling off, yet again, the trick of a Best-Of-California nose followed by a Best-Of-Burgundy body and finish, which was even trickier considering the difficult 2016 vintage (he just made way less), Anthony Hamilton Russell shows more and more that he isn’t aping other regions, he is defining a new one. Apple pie and baking spice line the nose before taking the fast train to Citrus-Town on the stony palate. Racy and exciting and something I look forward to more and more each year. 93 points Wine Spectator, 93 points Robert Parker""",538280,https://www.everythingwine.ca/hamilton-russell-chardonnay,South Africa,Other,White,Chardonnay,,"A tight, minerally wine with classic Hamilton Russell Vineyards length and complexity. Unusually prominent pear and lime fruit aromas and flavours are brought beautifully into focus by a tight line of bright natural acid and a long, dry minerality. An elegant, yet textured and intense wine with a strong personality of both place and vintage.",,$57.98 
Laughing Bird  Chardonnay 750 ml ,Laughing Bird  Chardonnay 750 ml,541409,https://www.everythingwine.ca/laughing-bird-chardonnay,Australia,South Eastern Australia,White,Chardonnay,,"Bright, crisp fruit and textured, juicy palate. Aromatic and fresh on the nose, with plenty of mouth-watering peach and melon on the palate, complemented by a lick of zesty acidity.",,$13.98 
Jackson Triggs  Reserve  Chardonnay 750 mL ,Jackson Triggs Reserve Chardonnay 750 mL,543819,https://www.everythingwine.ca/j-triggs-oka-pr-chard,Canada,BC - Okanagan Valley,White,Chardonnay,,,,$12.99 
Mitchell Wines Watervale Riesling 750 mL,Mitchell Wines Watervale Riesling 750 mL,544809,https://www.everythingwine.ca/mitchell-watervale-riesling,Australia,Clare Valley,White,Riesling,,"Bright green-straw in color. The nose is fragrant with a flowery bouquet that leads into a crisp, relatively firm palate that has all the minerally structure one could wish for with lime fruit as its core. Cellaring potential to 2020.","In general, pair lighter, crisper Rieslings with delicate (or raw) fish, Asian food or chicken.",$28.98 
Rodney Strong Estate Vineyards Charlotte's Home  Sauvignon Blanc 750 mL,Rodney Strong  Charlotte's Home  Sauvignon Blanc 750ml,545335,https://www.everythingwine.ca/rodney-strong-ch-sauv-blanc,USA,California,White,Sauvignon Blanc,,,,$28.98 
Tesoro Solosole Vermentino 750 mL ,Tesoro Solosole Vermentino 750 mL,546713,https://www.everythingwine.ca/tesoro-solosole-vermentino,Italy,Tuscany - Bolgheri,White,Vermentino,,,,$41.98 
El Gordo Del Circo Verdejo 750ml,El Gordo Del Circo Verdejo 750ml,547406,https://www.everythingwine.ca/el-gordo-verdejo,Spain,Rueda,White,Verdejo,,,,$33.98 
Villa Teresa  Organic Pinot Grigio 750 mL,"Villa Teresa  Pinot Grigio, organic 750 ml",549642,https://www.everythingwine.ca/villa-teresa-pinot-grigio,Italy,Veneto,White,Pinot Grigio,80%,,,$16.99 
Louis Latour  Chardonnay 750 mL,Louis Latour  Chardonnay 750ml,55533,https://www.everythingwine.ca/louis-latour-chardonnay,France,Burgundy,White,Chardonnay,,,,$23.99 
J & F Lurton Bodega Lurton  Pinot Gris 750 mL ,J & F Lurton Bodega Lurton Pinot Gris 750 mL,556746,https://www.everythingwine.ca/lurton-pinot-gris,Argentina,Mendoza,White,Pinot Gris,,,,$17.98 
McWilliams Hanwood Estate  Chardonnay 750ml ,McWilliams Hanwood Estate  Chardonnay 750ml,557934,https://www.everythingwine.ca/mcwilliams-hanwood-chard,Australia,South Australia,White,Chardonnay,,,,$14.98 
Saint and Sinner Pinot Grigio 750 mL,Saint and Sinner Pinot Grigio 750ml,558130,https://www.everythingwine.ca/saint-and-sinner-pinot-grigio,Canada,Canada,White,Pinot Grigio,,"Rich, fruit forward wine with hints of tropical fruit, citrus and ripe peaches.","Enjoy with sushi, poultry, pasta and fish.",$14.98 
Tinhorn Creek Vineyards Gewurztraminer 750 mL ,Tinhorn Creek Vineyards Gewurztraminer 750 mL,55913,https://www.everythingwine.ca/tinhorn-gewurztraminer,Canada,BC - Okanagan Valley,White,Gewurztraminer,100%,"Light golden hue gives this wine a bright bold appearance. The nose is pure Gewürztraminer with lychee, guava and subtle rosewater notes. It comes at you with great intensity and has layers of fruit and spice that keep the superlatives and inquisitiveness coming. The palate is viscous and textured with great mouth feel and shows beautiful peach pie and cinnamon up front with lychee, honey and ginger, finishing with preserved lemon. There is a subtle sweetness here that gives the wine balance and a decadent richness and ensures it will develop very nicely in the coming years.",Excellent for light curries or liver pâté.,$16.99 
E. Guigal Condrieu Viognier 750 mL,Guigal Condrieu,559708,https://www.everythingwine.ca/guigal-condrieu-2012,France,Rhone - Condrieu,White,Viognier,,"The delicately elusive perfume suggests pears, spice, and honeysuckle, while on the palate the wine is surprisingly rich and full-bodied, full of fruit but intensely mineral, with a sappy, bone-dry finish.  Truly a wine of texture, with a strong umami impression, a wine for both the intellect and the senses.","Aperitif, fois gras or scrambled eggs and truffles, delicate fish.",$83.98 
Hester Creek  Pinot Gris 750 mL ,Hester Creek  Pinot Gris 2011 750 mL,560037,https://www.everythingwine.ca/hester-creek-pinot-gris-2011,Canada,BC - Okanagan Valley,White,Pinot Gris,,,,$18.99 
Babich Sauvigon Blanc 750 mL,Babich Sauvingon Blanc 750 mL,560144,https://www.everythingwine.ca/babich-sauvignon-blanc,New Zealand,Hawkes Bay,White,Sauvignon Blanc,80%,,,$19.49 
Lamberti  Pinot Grigio 750ml,Lamberti  Pinot Grigio 750ml,560524,https://www.everythingwine.ca/lamberti-pinot-grigio,Italy,Veneto,White,Pinot Grigio,,,,$16.98 
Cedar Creek Winery Pinot Gris 750 mL,Cedar Creek Pinot Gris 750ml,561175,https://www.everythingwine.ca/cedar-creek-pinot-gris,Canada,BC - Okanagan Valley,White,Pinot Gris,,,,$18.99 
Joseph Drouhin Moulin de Vaudon Chablis Grand Cru Vaudesir 2008  750ml,Joseph Drouhin Moulin de Vaudon Chablis Grand Cru Vaudesir 2008  750ml,56193-I,https://www.everythingwine.ca/drouhin-vaudesir-chablis-grand,France,Chablis,White,Chardonnay,,,,$69.79 
Finca Los Primos Chardonnay 750 mL,Finca Los Primos Chardonnay 750 mL,56382,https://www.everythingwine.ca/finca-los-primos-chardonnay,Argentina,Mendoza,White,Chardonnay,,,,$12.99 
Mission Hill Family Estate Five Vineyards Pinot Grigio 750 mL,Mission Hill Family Estate Five Vineyards Pinot Grigio 750 mL,563981,https://www.everythingwine.ca/mh-5vy-pinot-grigio,Canada,BC - Okanagan Valley,White,Pinot Grigio,,,,$12.99 
Pascal Jolivet  Attitude Sauvignon Blanc 750 mL,Pascal Jolivet  Attitude Sauvignon Blanc 750 mL,564245,https://www.everythingwine.ca/jolivet-attitude-sauv-blanc,France,Loire,White,Sauvignon Blanc,,,,$32.98 
Masi  Modello delle Venezie Pinot Grigio 750ml,Masi  Modello delle Venezie Pinot Grigio 750ml,564674,https://www.everythingwine.ca/masi-modello-bianco,Italy,Veneto,White,Pinot Grigio,80%,,,$14.99 
